scenario,rep,J,true_beta,beta_mean,beta_hdi3,beta_hdi97,beta_covered,oracle_ols_slope,beta_minus_oracle,true_sigma,sigma_mean,max_r_hat,min_ess_bulk,divergences
cybench_like,0,12,1.5,0.8532652258872986,-0.07481221109628677,1.6692867279052734,True,0.8393715256204113,0.013893700266887299,0.5,0.42428070306777954,1.0038,2194.46998,0
cybench_like,1,12,1.5,1.091347575187683,0.15278483927249908,2.0513553619384766,True,1.0520645508509257,0.039283024336757455,0.5,0.47276630997657776,1.00161,2004.2761,0
cybench_like,2,12,1.5,1.7038918733596802,0.43517032265663147,2.9654617309570312,True,2.0446307884868387,-0.3407389151271585,0.5,0.6614252924919128,1.00108,2265.87157,0
cybench_like,3,12,1.5,0.46230050921440125,-0.442419171333313,1.3741973638534546,False,0.4866236796814819,-0.024323170467080657,0.5,0.4542047083377838,1.00165,1898.39751,0
cybench_like,4,12,1.5,1.0303900241851807,-0.01472964696586132,2.025634288787842,True,1.0981774178546104,-0.06778739366942976,0.5,0.5189170241355896,1.00305,2048.44307,0
cybench_like,5,12,1.5,2.1235690116882324,1.1839922666549683,3.108234167098999,True,2.1631146232712655,-0.03954561158303305,0.5,0.4952472448348999,1.008,1961.83821,0
cybench_like,6,12,1.5,0.7730736136436462,-0.024994634091854095,1.6237190961837769,True,0.7489337628826991,0.024139850760947157,0.5,0.42207106947898865,1.00143,1927.5404,0
cybench_like,7,12,1.5,1.207273006439209,0.49532759189605713,1.8482065200805664,True,1.2638063381219518,-0.05653333168274277,0.5,0.33391058444976807,1.00311,2011.89035,0
cybench_like,8,12,1.5,0.7226730585098267,-0.569648027420044,1.9946424961090088,True,0.9038836156751205,-0.18121055716529388,0.5,0.674706220626831,1.001,1856.51966,0
cybench_like,9,12,1.5,0.9629549980163574,-0.12337827682495117,2.0124833583831787,True,1.045066586498573,-0.08211158848221567,0.5,0.5565464496612549,1.00367,1789.34353,0
boolq_like,0,5,0.8,1.1049985885620117,-0.5654396414756775,2.5598325729370117,True,1.3065332969583965,-0.20153470839638477,0.4,0.6994140148162842,1.00277,1287.53821,0
boolq_like,1,5,0.8,0.7379552125930786,-0.6428241729736328,1.9987584352493286,True,0.8523950208311001,-0.11443980823802147,0.4,0.5735464096069336,1.00258,1151.05869,0
boolq_like,2,5,0.8,1.3045562505722046,0.29270240664482117,2.1797420978546143,True,1.4029796718305056,-0.09842342125830106,0.4,0.382665753364563,1.00513,752.51312,0
boolq_like,3,5,0.8,1.23435640335083,0.4159269332885742,2.105914831161499,True,1.2706039504472464,-0.03624754709641631,0.4,0.3227446973323822,1.00344,793.89412,0
boolq_like,4,5,0.8,0.6539255976676941,-0.9656760096549988,2.1480748653411865,True,0.732599503043151,-0.07867390537545693,0.4,0.6588156819343567,1.00281,1034.59524,0
boolq_like,5,5,0.8,0.171728253364563,-0.8290965557098389,1.0376553535461426,True,0.16780976680767717,0.003918486556885814,0.4,0.3766994774341583,1.00285,865.71094,0
boolq_like,6,5,0.8,0.5141744613647461,-0.9194030165672302,1.769417643547058,True,0.5982704794918868,-0.08409601812714074,0.4,0.610000729560852,1.00164,1047.50829,0
boolq_like,7,5,0.8,1.541096806526184,-0.09288092702627182,2.836430549621582,True,1.751130950697754,-0.21003414417156985,0.4,0.6452807784080505,1.00274,1131.1585,0
boolq_like,8,5,0.8,0.021966468542814255,-1.7057881355285645,1.687139868736267,True,0.04009212181438855,-0.018125653271574296,0.4,0.8142278790473938,1.00252,1464.87179,0
boolq_like,9,5,0.8,0.9931926131248474,-0.06979790329933167,2.132136344909668,True,1.0809832242915924,-0.08779061116674503,0.4,0.46497857570648193,1.00385,997.4712,0
swe_like_narrow,0,3,1.5,0.23068085312843323,-3.1588144302368164,3.518543004989624,True,0.94663070813334,-0.7159498550049068,0.4,0.8116936683654785,1.00313,1522.05284,0
swe_like_narrow,1,3,1.5,2.329871416091919,-1.4515799283981323,5.080368518829346,True,4.108100033833149,-1.77822861774123,0.4,0.5126286149024963,1.00168,480.93883,0
swe_like_narrow,2,3,1.5,0.6184095740318298,-2.5634913444519043,3.9042365550994873,True,2.193140242887985,-1.574730668856155,0.4,0.7121701836585999,1.00189,1126.15448,0
swe_like_narrow,3,3,1.5,-0.3902476131916046,-3.3882944583892822,2.666353702545166,True,-0.9155708087595079,0.5253231955679033,0.4,0.5897101759910583,1.00575,1055.40842,0
swe_like_narrow,4,3,1.5,0.7983607649803162,-2.707012891769409,4.323368072509766,True,4.579839932631584,-3.781479167651268,0.4,1.0202529430389404,1.0022,1785.5892,0
swe_like_narrow,5,3,1.5,-0.3220016360282898,-3.8159117698669434,2.7978837490081787,True,-1.3035661954885849,0.9815645594602951,0.4,0.8766105771064758,1.00227,1562.0501,0
swe_like_narrow,6,3,1.5,1.7630491256713867,-1.365654468536377,4.418433666229248,True,3.13296227580581,-1.3699131501344235,0.4,0.4481145739555359,1.01007,387.15723,0
swe_like_narrow,7,3,1.5,0.39689138531684875,-2.024803876876831,3.065317392349243,True,0.4713137742891586,-0.07442238897230985,0.4,0.3883494734764099,1.00395,562.41641,0
swe_like_narrow,8,3,1.5,1.9289662837982178,-1.3252142667770386,4.203531265258789,True,2.9916640461343995,-1.0626977623361817,0.4,0.37089329957962036,1.00648,327.22623,0
swe_like_narrow,9,3,1.5,-0.5536450147628784,-3.3712568283081055,2.336578369140625,True,-1.3336028647602076,0.7799578499973292,0.4,0.5613836646080017,1.00286,1052.84348,0
